Product_type,Value_million_riyals,Weight_tons
Living animals,2753.022644,237920.9181
"Meat, offal and edible limbs",7360.803522,793068.5061
"Fish, crustaceans, molluscs and other aquatic invertebrates.",1681.270434,158492.2877
"Milk and dairy products; Bird eggs; Natural honey ; Edible products of animal origin, not elsewhere specified or included",7332.2685,615511.9997
"Other products of animal origin, not elsewhere specified or included",28.116891,300.579374
"Live trees and other plants; Bulbs, bulbs, roots and the like; Cut flowers and decorative leafy branches",322.291737,22121.90036
"Edible vegetables, plants, roots and tubers",2328.243671,1077301.285
Edible fruits and fruits; Citrus peels and the peel of watermelon or melon,6183.62955,1717294.3
"Coffee, tea, mate, spices and spices",3563.295806,231106.6482
grain,15743.81036,13601928.63
"Mill products; Active barley (malt); Starch of beans, roots or tubers; Inulin; Wheat gluten (gluten)",780.677487,308597.9683
"Oilseeds, seeds and fruits; Various grains, seeds and fruits; Plants for industry or medicine; Straw and fodder",3488.579874,1775748.408
"Shellac gum; Gums, resins and other vegetable juices and extracts",228.6283842,11128.01702
Vegetable plaiting material; Other products of vegetable origin not mentioned or included elsewhere,64.44617873,14310.98736
Animal or vegetable fats and oils and their breakdown products; Prepared edible fats; Candles of animal or vegetable origin,3320.406651,970409.4811
"Preparations of meat, fish, crustaceans, molluscs, or other aquatic invertebrates",1715.736429,111194.8545
Sugar and confectionery products,3023.09543,1586751.677
Cocoa and cocoa preparations,2086.093396,121412.1219
"Preparations based on cereals, flour, starch or milk; Pies",5879.12717,371677.5935
"Preparations of vegetables, fruits and fruits or preparations of other parts of plants",3618.245077,777606.7693
Various food preparations,5182.908613,283979.2731
"Beverages, alcoholic liquids and vinegar",799.918691,298951.154
Residues and waste from the food industries Prepared animal food,2776.325148,2112426.842
Tobacco and manufactured tobacco substitutes,2260.317202,39373.45598
salt ; matches ; Dusts and Stones; Plaster; Lime and cement,1047.919712,1785221.098
"Ores, slag and ash",683.89707,641834.3573
"Mineral fuels, mineral oils and products of their distillation; Bituminous materials; Metal candles",16763.42359,10030608.59
"Inorganic chemical products; Organic or inorganic compounds of precious metals, rare earth minerals, radioactive elements, or isotopes",3677.681651,2210859.213
Organic chemical products,7572.589508,1576367.433
Pharmacy products,20131.95911,56777.89217
Fertilizers,382.9117155,208890.1595
"Essences for tanning and dyeing; Tanning materials and their derivatives: dyes, pigments, and other coloring matter; Paints and varnishes; Pastes; Ink",1962.728854,204385.4607
"Essential oils and extracts of resinous materials (resinoid); Perfume, softening (cosmetic) or cosmetic (toilet) preparations",8168.156183,209755.0759
"Soaps, organic surface agents (organic washes), washes, lubricants, synthetic waxes, prepared waxes, polishing or polishing preparations, lighting waxes and similar items, model-making pastes, dental waxes, and plaster-based dental preparations",2895.222603,305365.7847
Albumen material; Products based on modified starch; glue ; Enzymes,708.8549509,85336.29121
"Gunpowder and explosives; Artistic pyrotechnic products; matches; Metal alloys to cause ignition; Flammable materials, prepared",79.23562089,3282.83305
Photography or cinematographic products,122.0752432,3065.542329
Various chemical products,8031.422828,619418.7924
Plastics and articles thereof,12678.38235,1493019.729
Rubber and articles thereof,7904.420632,622241.6052
Raw hides and skins (except for furskins) and tanned hides,3.543519,77.45223
Leather goods; Several animal and saddle varieties; Travel supplies; Handbags and similar containers; Articles of animal gut (except for silkworm gut),2264.40574,78836.26451
Leather with natural furs and imitation (synthetic) furs; Its crafts,26.43385614,1538.77038
Wood and articles thereof; Wood charcoal,4447.71549,2401094.72
Cork and articles thereof,74.44944401,5300.184009
"Articles of straw, verfa or other plaiting material; Varieties of mats and baskets industries",227.3739779,14815.92867
Pulps of wood or other cellulosic fibrous materials; Paper and paperboard (waste and scraps) for recycling,422.6250277,236694.287
Paper and paperboard (cardboard); Articles of cellulose paste or of paper or cardboard,6222.723302,1543120.213
"Books, newspapers, photos and other printing and publishing products; Hand manuscripts, reproductions and designs",484.6173101,21938.20878
Natural silk,8.295985485,65.04841
"Wool, fine or coarse animal hair, horsehair woven threads and fabrics",52.700411,7703.610205
Cotton,130.1148375,11734.02314
"Other vegetable textile fibers, paper yarn and paper woven fabrics",75.52461173,15270.21193
Synthetic or artificial filaments; Scales and similar shapes made of synthetic or synthetic textile materials,1673.326661,123584.2899
Synthetic or man-made fibers are not continuous,910.5982539,89544.61055
"Wadding, felt or textiles; Special strings; Strings, bundles, ropes, and articles made from them",639.6055058,58139.41853
Carpets and other textile floor coverings,1764.038955,219005.2181
Special woven fabrics; Velvet fabrics / Uppers / textile materials; Serrations (dantella); Diapeg; Nodule varieties; Embroideries,187.532043,11801.59133
"Impregnated, lacquered, covered or table weaving; Textile items for technical or industrial use",326.1223635,24376.63097
Knitted or crocheted fabrics,269.8798339,24849.83157
Clothes and clothing accessories made of knitted or crocheted,6298.369356,172675.8254
"Clothing and clothing accessories, not knitted or crocheted",8636.081334,180110.4361
Other ready-made varieties of textile materials; Sets (Kits); Second-hand clothing and second-hand textile articles; Rags and rags,1742.740059,147517.3568
"Shoes, leggings and the like; Parts of these items",3507.068269,103371.184
Head covers and parts thereof,370.5957942,13239.44897
"Umbrellas, sun umbrellas, sticks, base sticks, whips, equestrian whips, and parts of these items",36.95626467,3162.536131
"Prepared feathers and down, and articles made from them; Artificial flowers; Varieties of human hair",189.4621597,10330.68818
"Articles of stone, plaster, cement, asbestos, mica, or similar materials",1909.373693,1832618.844
Products of ceramics,3544.073239,2397350.77
Glass and articles thereof,2117.022911,366117.8536
"Natural or cultured pearls, precious and semiprecious stones, precious metals, base metals clad with precious metals, articles of these materials; Seduction costume (fake); money",14385.95707,9089.421595
Iron and steel (steel),16670.15099,13351612.09
Articles of iron or cast (steel),14751.45166,1920611.368
Copper and articles thereof,6973.09459,300260.0772
Nickel and articles thereof,364.6324038,5893.013232
Aluminum and articles thereof,5329.804423,519650.1904
Lead and artifacts,27.65956417,2751.82269
Zinc (Zinc) and articles thereof,568.6260445,50811.90929
Pewter and Manufactured,43.24042593,2486.644292
Other base metals; Mineral-ceramic mixtures (cermets); Its crafts,147.7204588,10909.30758
"Base metal tools for knives, spoons and forks; Its parts are of base metal",1993.832959,46332.24361
Varieties of base metals,2186.851445,137091.0121
"Nuclear reactors, boilers, machines, devices and machine tools; Its parts",65667.7975,1466191.847
"Machinery, electrical equipment and parts thereof; Sound recording and broadcasting devices, audio and video recording and broadcasting equipment in visual radio (television), and parts and supplies of these equipment",55373.27926,676006.0408
"Locomotives, wagons, railway or similar equipment and parts thereof; railway fasteners, fittings and parts thereof; Automatic signal devices (including electrostatic) for all types of conductor knocking",3214.332299,340799.5682
"Vehicles other than locomotives, railroads or trams, and parts and accessories thereof",80951.91507,1491816.365
"Aerial vehicles, spacecraft and parts thereof",10846.99819,5600.582411
"Ships, boats and floating structures",22540.03301,446309.8595
"Tools and devices for optics, photography, cinematography, measurement or examination and fine tuning, instruments and devices for medicine or surgery; Parts and supplies for these tools and devices",14532.29974,57865.54045
Watchmaking items and parts thereof,1977.025829,6907.325038
musical instruments ; Parts and accessories thereof,41.36894839,741.7434
Weapons and ammunition; Parts and accessories thereof,12480.23187,126821.8486
"Furniture; Bed items (mattresses, mattress holders, pillows and similar stuffed items); Lighting devices not elsewhere specified or included; Illuminated signs, illuminated advertising or signboards and similar items; Prefabricated buildings",9129.89738,791717.0185
"Toys and items for entertainment or for sports, and parts and accessories thereof",2540.45644,122288.1575
Various manufactures,2027.657813,92139.60667
"Masterpieces of art, collection pieces and antiques",3966.966703,1894.296717
Goods with special provisions,6965.948077,115386.3631
