The_country_of_destination,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ethiopia,1768535.00,62350256.00,100466929.00,206422954.00,208496717.00,277822450.00,374140952.00,207857414.00,233383931.00,224452939.00,246326516.00
Azerbaijan,,9494546.00,28433805.00,34033261.00,25558511.00,19997630.00,9465389.00,12124161.00,7840012.00,19566621.00,17135522.00
Uruguay,52949.00,200053.00,1698966.00,6810243.00,10355286.00,50602218.00,86315228.00,38613793.00,18797778.00,18199289.00,23325621.00
Armenia,,1788992.00,1601066.00,2177157.00,1321458.00,1269527.00,146912.00,1987918.00,1203319.00,698373.00,1904510.00
Europe,,222840.00,305047.00,944843.00,488996.00,,113843227.00,19800.00,,1352961.00,1068844.00
Eritrea,417958.00,10424001.00,6519083.00,5540318.00,23422727.00,8995467.00,11215934.00,5132485.00,4929485.00,3859875.00,12079092.00
Spain,9406016.00,763759560.00,1508108540.00,1902154697.00,1945075767.00,2236948066.00,4347826945.00,2580187694.00,2106016884.00,2498583033.00,3006975255.00
Australia,40838.00,1009693412.00,1136704617.00,1433496039.00,1535912535.00,1424690057.00,1875862401.00,1431174143.00,1324438606.00,1653927588.00,1529705786.00
Estonia,,1803272.00,2160838.00,2063468.00,5790143.00,253970963.00,408072593.00,295403079.00,312725263.00,199954840.00,157797737.00
Afghanistan,512207.00,29861542.00,34182509.00,41874791.00,34484658.00,16412275.00,21183177.00,18150537.00,16244814.00,15399253.00,16795107.00
Ecuador,,5342736.00,30567361.00,114742376.00,64949854.00,151968622.00,145824476.00,124804324.00,57144131.00,67768597.00,134164138.00
European Union,,266292.00,2014712.00,102769567.00,2060592.00,203762.00,92.00,,,519417.00,30380.00
Argentina,83938.00,4978469.00,56682764.00,58058533.00,37728994.00,84248627.00,286430669.00,309918300.00,493970377.00,259438108.00,292741817.00
Jordan,30267483.00,4232356461.00,5118350913.00,6179525221.00,6442395643.00,6897813803.00,7117080006.00,5163802822.00,4438304685.00,4376827435.00,5624084221.00
United Arab Emirates,112895931.00,13586566810.00,14630195633.00,18505130835.00,18735074606.00,17565744808.00,17369623011.00,16786796001.00,18368122834.00,21514841528.00,22800111426.00
Albania,,1351240.00,474769.00,962078.00,530490.00,1648870.00,9105371.00,4166985.00,8866786.00,5895433.00,4691054.00
Bahrain,25867588.00,3355680563.00,2677755137.00,2734318159.00,3409227232.00,3232455702.00,3192013438.00,3007887502.00,3188934854.00,3593761318.00,4137468962.00
