The_country_of_destination,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ethiopia,4117249.00,414868318.00,551852697.56,602467278.59,750669670.03,594919056.66,766915986.00,752961465.67,665650035.48,784557067.40,702837715.45
Azerbaijan,,182254.00,473703.08,35440.00,1309745.00,709509.00,3834285.20,318298.00,560094.11,1652749.83,1557097.00
Uruguay,,44318284.00,72463901.53,50868834.00,37025339.98,54813980.37,42526298.35,52523075.38,56496945.05,37196546.00,14751585.52
Armenia,29694.00,3196780.81,688365.35,1674299.00,1298460.00,657158.31,6930615.40,4962492.80,10583408.80,3700357.48,6232700.41
Europe,201216.00,10454583.96,10013347.00,4582525.00,13551915.00,20919998.00,10321662.00,8808859.00,12631122.00,5153145.05,3588016.20
Eritrea,2164.00,19847639.00,12402895.00,419749.04,938356.00,1264431.00,2732221.00,2298015.00,63100.00,896297.00,534505.00
Spain,54047865.99,4668231823.94,4817833164.29,5662948319.53,14631298837.23,21203370343.60,10660683618.26,9725549032.38,9531503070.62,9297435589.83,9409288519.00
Australia,82497806.44,6545997497.34,6269736299.44,6568379541.06,8313954665.31,9088697404.90,8707298532.67,7162982143.60,5170254882.91,4475965601.19,2346029832.50
Estonia,145642.00,45785827.36,55404277.84,362530353.59,564919975.41,654001890.61,379326581.51,379982906.86,331061443.69,955935518.97,490546043.90
Afghanistan,4925.00,1469299.00,1389563.00,1456402.32,902390.37,2149930.17,1255603.00,2810630.10,15837485.58,30657975.00,36124729.66
Ecuador,,92893121.92,77953105.56,67638364.25,97647198.81,134831855.81,180400346.78,302918617.33,441638436.37,496724288.64,482055825.41
European Union,22392613.00,1600753613.59,1522948864.42,1010244094.26,1394532807.53,1462322145.82,1259890738.71,4218891494.09,1016864106.22,918657037.52,1369939635.42
Argentina,3761894.00,1368380950.87,1538129242.90,2687577508.06,3542197918.41,6066832690.44,4195933037.91,2111675640.08,3118958888.99,3044585494.60,3867936868.94
Jordan,26075063.00,2008432625.15,2341036916.35,2484558117.69,2694525789.91,3190742302.88,3490579393.02,3776683287.05,4045918410.80,3173422361.34,3024014478.22
United Arab Emirates,149097047.03,10962511336.97,14209446999.15,20523702094.10,28804267754.17,32207997924.04,31891515975.81,33510099772.03,28812982873.29,33858553415.05,45835673482.00
Albania,,5057062.18,2142813.55,2117746.00,4919782.63,2804085.83,18989127.51,26696275.15,4615489.44,6920496.55,14872746.15
Bahrain,29797481.66,3490569735.61,4189683935.76,4826039839.38,5208471634.81,6844927591.84,7401588568.94,7784310728.23,5526240978.32,5276387210.44,6094246277.84
Brazil,118982581.23,9376229572.23,11786612382.62,15057973869.12,13668026300.22,12712938478.20,11633699476.96,12130260287.63,10113034338.32,9333415989.93,8448958079.26
Portugal,2908068.00,431725833.16,530453633.41,626460714.00,762476558.63,886023124.03,774947209.86,969536304.85,845349857.41,1039181722.90,796526669.83
Bosnia and Herzegovina,14955.00,9531790.94,17872843.77,49937515.83,41260611.07,38334944.83,69416309.11,92849509.66,45516097.62,37171552.46,51479430.14
Czechia,1903764.00,987817306.43,1192193977.89,1298557651.89,1455569753.59,1810277311.96,2306193328.20,2735259274.34,2137268282.51,2583163723.91,2490565041.88
Montenegro,,,,,142347.00,748620.00,487885.00,643170.00,583952.00,356419.06,195856.00
Algeria,69438.00,21006715.67,37606277.82,44621460.39,64751481.00,57315843.00,23754952.84,34310516.77,35932806.53,17899313.32,29094615.16
Denmark,6899506.71,1633082655.65,2086393838.95,2366143458.78,2684850113.18,2500128652.18,2872227970.19,3152765741.97,2954961553.46,2823800619.74,3139631706.11
Senegal,,797752.00,1006147.00,1176280.00,881351.85,1200080.00,440499.46,708330.00,544609.35,389928.00,404115.00
Sudan,2530962.00,616720676.00,805277269.00,1249771930.00,1511239237.44,1962328373.26,2190881564.68,2562083358.89,1951395054.60,2392492142.00,2127848103.74
Sweden,47628104.00,5261590482.25,5152957208.34,6658965919.80,6663640290.36,6546802634.54,6399973988.70,5398037277.06,4530871097.66,4024483548.40,4149469534.13
Western Sahara,,2476.00,,,42968.00,,,,,9805.00,
Somalia,503903.00,238704781.00,687317068.00,984660773.00,902978337.03,1133917384.00,1062886628.00,1195683111.00,967295846.00,307482258.00,274777568.90
