The_country_of_destination,Value_million_riyals,Weight_tons,Latitude,Longitude
Ethiopia,224.704473,61312.21603,9.145,40.489673
Azerbaijan,15.615438,3596.707,40.143105,47.576927
Uruguay,12.544039,3788.2109,-32.522779,-55.765835
Armenia,2.100864,460.267,40.069099,45.038189
Europe,1.946589,805.554,,
Eritrea,3.943564,9226.364,15.179384,39.782334
Spain,2320.681492,744119.1207,40.463667,-3.74922
Australia,1370.056571,1051520.787,-25.274398,133.775136
Estonia,136.646807,39424.906,58.595272,25.013607
Afghanistan,34.364099,3256.258,33.93911,67.709953
Ecuador,70.451385,19898.147,-1.831239,-78.183406
European Union,198.6658,54113.405,,
Argentina,228.414734,112839.0164,-38.416097,-63.616672
Jordan,5123.150247,2344423.631,30.585164,36.238414
United Arab Emirates,19062.84033,5952197.574,23.424076,53.847818
Albania,2.295813,505.2065,41.153332,20.168331
Bahrain,3346.172259,1843006.594,25.930414,50.637772
Brazil,2148.955871,1262693.958,-14.235004,-51.92528
Portugal,924.920089,184935.2829,39.399872,-8.224454
Bosnia and Herzegovina,3.008259,406.6683,43.915886,17.679076
Czechia,33.817114,5066.97067,49.8175,15.473
Algeria,2015.457563,420798.9159,28.033886,1.659626
Denmark,114.041365,20783.111,56.26392,9.501785
Senegal,92.48809,20742.37594,14.497401,-14.452362
Sudan,1140.605458,339685.3778,12.862807,30.217636
Sweden,307.494246,69445.83669,60.128161,18.643501
Somalia,191.883509,40401.99003,5.152149,46.199616
China,36079.28635,12124421.34,35.86166,104.195397
Iraq,2621.966454,494153.5441,33.223191,43.679291
Philippines,298.269916,99580.24424,12.879721,121.774017
Cameroon,52.782982,13143.7445,7.369722,12.354722
Kuwait,6285.679625,2282134.231,29.31166,47.481766
Germany,210.749282,46414.97095,51.165691,10.451526
Morocco,1337.602149,658548.7645,31.791702,-7.09262
United kingdom,797.503807,171881.2365,55.378051,-3.435973
Norway,10.459276,2594.884938,60.472024,8.468946
Austria,15.741408,1884.35714,47.516231,14.550072
Niger,5.984316,1196.654,17.607789,8.081666
India,14025.97909,6213696.228,20.593684,78.96288
Japan,3012.564561,1258303.294,36.204824,138.252924
Yemen,3818.860747,2147190.486,15.552727,48.516388
Greece,513.599055,129778.1037,39.074208,21.824312
United States,3986.212918,1317287.103,37.09024,-95.712891
Angola,104.324099,15953.87606,-11.202692,17.873887
Anguilla,1.645259,1096,18.220554,-63.068615
Indonesia,1884.427602,630008.8028,-0.789275,113.921327
Uzbekistan,1.81685,176.355,41.377491,64.585262
Uganda,124.732489,184975.552,1.373333,32.290275
Ukraine,261.159179,61681.92887,48.379433,31.16558
Ireland,27.299323,5547.01316,53.41291,-8.24389
Iceland,0.355906,38.929,64.963051,-19.020835
Italy,2565.502311,610418.8974,41.87194,12.56738
Pakistan,2999.53559,981178.3587,30.375321,69.345116
Paraguay,18.609454,5357.095,-23.442503,-58.443832
Barbados,0.069267,11.5445,13.193887,-59.543198
Brunei,5.792041,295.7792,4.535277,114.727669
Belgium,6960.59007,1830276.982,50.503887,4.469936
Bulgaria,23.748821,4195.65779,42.733883,25.48583
Bangladesh,2425.547899,2237516.665,23.684994,90.356331
Panama,0.579932,296.39964,8.537981,-80.782127
Benin,4.216767,939.3625,9.30769,2.315834
Botswana,0.214823,30.726,-22.328474,24.684866
Puerto Rico,0.407246,133.097,18.220833,-66.590149
Burkina Faso,7.50734,2025.24744,12.238333,-1.561593
Burundi,0.70947,134.048,-3.373056,29.918886
Poland,988.932582,253803.2379,51.919438,19.145136
Bolivia,0.131048,49.22,-16.290154,-63.588653
Peru,161.319791,41833.6442,-9.189967,-75.015152
Thailand,2461.292135,1539306.081,15.870032,100.992541
Taiwan,1843.269013,940303.0847,23.69781,120.960515
Turkmenistan,0.193009,57.722,38.969719,59.556278
Turkey,7508.234605,1835788.33,38.963745,35.243322
Trinidad and Tobago,0.587794,112.39546,10.691803,-61.222503
Chad,4.135178,443.7548,15.454166,18.732207
Chile,48.871461,15316.49485,-35.675147,-71.542969
Tanzania,641.016253,361399.6037,-6.369028,34.888822
Togo,143.284747,36473.99961,8.619543,0.824782
Tonga,1.217886,24.3005,-21.178986,-175.198242
Tunisia,696.998289,165402.1358,33.886917,9.537499
Gabon,8.958541,55737.899,-0.803689,11.609444
Jamaica,0.202952,115.25882,18.109581,-77.297508
Gambia,14.959206,4532.00963,13.443182,-15.310139
Gibraltar,0.663141,648.63423,36.137741,-5.345374
Comoros,8.771242,53961.768,-11.875001,43.872219
Cabo Verde,0.250435,93.25,16.5388,-23.0418
Central African Republic,2.270697,614.226,6.611111,20.939444
Dominican Republic,27.155083,6655.927,18.735693,-70.162651
South Africa,1825.720886,792513.1142,-30.559482,22.937506
South Sudan,3.07485,636.27151,6.877,31.307
Guatemala,124.535784,34364.49,15.783471,-90.230759
Georgia,56.853979,12969.8735,42.315407,43.356892
Djibouti,485.665381,278286.0227,11.825138,42.590275
Jersey,0.779547,321.75,49.214439,-2.13125
Dominica,9.532304,3154.34711,15.414999,-61.370976
Rwanda,6.914827,2246.361,-1.940278,29.873888
Russia,102.988429,13196.21822,61.52401,105.318756
Romania,20.695794,6476.215,45.943161,24.96676
Réunion,7.372155,38343.111,-21.115141,55.536384
Zambia,11.037455,2470.032,-13.133897,27.849332
Zimbabwe,1.331408,230.3598,-19.015438,29.154857
Ivory Coast,323.90481,81989.15171,7.54,-5.5471
Saint Helena,0.28512,125.85,-24.143474,-10.030696
Sri Lanka,247.424288,119387.6256,7.873054,80.771797
El Salvador,20.17132,4989.353,13.794185,-88.89653
Slovakia,4.565524,257.009964,48.669026,19.699024
Slovenia,49.912095,12870.3481,46.151241,14.995463
Singapore,13086.9011,3499121.407,1.352083,103.819836
Eswatini,0.478408,88.236,-26.5225,31.4659
Syria,1.983574,195.3525,34.802075,38.996815
Switzerland,1189.93324,45362.19331,46.818188,8.227512
Sierra Leone,18.855385,5965.07838,8.460555,-11.779889
Suriname,0.066015,35.815,3.919305,-56.027783
Seychelles,3.084736,22036.041,-4.679574,55.491977
Serbia,1.247763,211.909,44.016521,21.005859
Tajikistan,0.627252,133.3765,38.861034,71.276093
Oman,3223.610899,862819.6987,21.512583,55.923255
Ghana,332.443518,461088.6793,7.946527,-1.023194
Guyana,0.182137,66.465,4.860416,-58.93018
Guinea,109.281287,28605.042,9.945587,-9.696645
Equatorial Guinea,1.964652,637.5,1.650801,10.267895
Guinea-Bissau,19.895445,4198.402,11.803749,-15.180413
France,352.549605,58491.06497,46.227638,2.213749
Palestine,78.553958,25282.78619,31.9522,35.2332
Venezuela,0.32364,72.825,6.42375,-66.58973
Finland,28.437917,8017.326022,61.92411,25.748151
Vietnam,2126.272913,596305.5502,14.058324,108.277199
Cyprus,23.152895,7896.96714,35.126413,33.429859
Qatar,0.182492,81,25.354826,51.183884
Kyrgyzstan,1.149455,308.0865,41.20438,74.766098
Kazakhstan,1.854444,463.18247,48.019573,66.923684
Cambodia,15.724891,3751.04918,12.565679,104.990963
Croatia,22.259778,5864.89041,45.1,15.2
Canada,302.116992,31755.87506,56.130366,-106.346771
Cuba,35.453564,8732.348,21.521757,-77.781167
Curaçao,0.023539,16.965,12.1696,-68.99
South Korea,3137.604317,1247801.356,35.907757,127.766922
North Korea,0.003904,1.097,40.339852,127.510093
Costa Rica,12.623422,4385.63225,9.748917,-83.753428
Colombia,116.519478,27356.4034,4.570868,-74.297333
Democratic Republic of the Congo,18.85742,5786.389,-4.0383,21.7587
Republic of the Congo,95.396719,24787.404,-4.0383,21.7587
Kenya,1330.781853,1491171.106,-0.023559,37.906193
Latvia,0.754032,92.641,56.879635,24.603189
Laos,0.073671,56.56,19.85627,102.495496
Lebanon,991.855983,220972.7155,33.854721,35.862285
Lithuania,8.603553,2070.9835,55.169438,23.881275
Luxembourg,19.376268,3961.29473,49.815273,6.129583
Liberia,41.117856,34349.888,6.428055,-9.429499
Libya,433.948619,83900.30571,26.3351,17.228331
Lesotho,17.642469,4733.01,-29.609988,28.233608
Maldives,9.847465,1419.73392,3.202778,73.22068
Malta,185.362087,68562.5254,35.937496,14.375416
Mali,10.955093,2345.246349,17.570692,-3.996166
Malaysia,5096.26561,1338525.421,4.210484,101.975766
Myanmar,338.823437,120957.5324,21.9162,95.956
Mayotte,4.446154,36799.435,-12.8275,45.166244
Madagascar,53.281324,18279.12476,-18.766947,46.869107
Egypt,6420.855729,1603535.4,26.820553,30.802498
North Macedonia,1.247422,1000.661,41.6086,21.7453
Mexico,165.326913,29761.075,23.634501,-102.552784
Malawi,66.363057,45335.8168,-13.254308,34.301525
Mongolia,1.87476,473.25,46.862496,103.846656
Mauritania,77.945809,20672.90002,21.00789,-10.940835
Mauritius,21.899806,5468.088655,-20.348404,57.552152
Mozambique,299.236625,1086727.91,-18.665695,35.529562
Namibia,13.277032,4421.807,-22.95764,18.49041
Nepal,34.199144,8611.62795,28.394857,84.124008
Netherlands Antilles,2.204183,880.699,12.226079,-69.060087
Nigeria,853.805095,192719.4994,9.081999,8.675277
Nicaragua,13.450111,6382.95151,12.865416,-85.207229
New Zealand,459.560111,372897.5765,-40.900557,174.885971
Haiti,5.674466,1867.082,18.971187,-72.285215
Hungary,13.350553,2397.75475,47.162494,19.503304
Netherlands,2182.940802,583688.3695,52.132633,5.291266
Hong Kong,414.023763,167614.1018,22.396428,114.109497
Honduras,6.060471,1465.758,15.199999,-86.241905
