Product_type,Value_million_riyals,Weight_tons
Living animals,180.6321334,7666.1955
"Meat, offal and edible limbs",530.6881979,40198.16453
"Fish, crustaceans, molluscs and other aquatic invertebrates.",527.9805093,37115.04734
"Milk and dairy products; Bird eggs; Natural honey ; Edible products of animal origin, not elsewhere specified or included",4168.882322,852443.8453
"Other products of animal origin, not elsewhere specified or included",0.853227,390.881
"Live trees and other plants; Bulbs, bulbs, roots and the like; Cut flowers and decorative leafy branches",37.50971,4183.687
"Edible vegetables, plants, roots and tubers",113.3972881,79149.45149
Edible fruits and fruits; Citrus peels and the peel of watermelon or melon,942.7091754,209898.3115
"Coffee, tea, mate, spices and spices",64.62173865,2520.44682
grain,0.363881,122.521
"Mill products; Active barley (malt); Starch of beans, roots or tubers; Inulin; Wheat gluten (gluten)",43.47951445,32523.26613
"Oilseeds, seeds and fruits; Various grains, seeds and fruits; Plants for industry or medicine; Straw and fodder",5.60727376,927.86719
"Shellac gum; Gums, resins and other vegetable juices and extracts",16.13382837,1083.544005
Vegetable plaiting material; Other products of vegetable origin not mentioned or included elsewhere,0.221677,39.3689
Animal or vegetable fats and oils and their breakdown products; Prepared edible fats; Candles of animal or vegetable origin,836.1995631,231156.1471
"Preparations of meat, fish, crustaceans, molluscs, or other aquatic invertebrates",282.5868542,33988.64318
Sugar and confectionery products,899.015247,452132.2987
Cocoa and cocoa preparations,210.0191038,12867.78061
"Preparations based on cereals, flour, starch or milk; Pies",1947.444919,222007.8527
"Preparations of vegetables, fruits and fruits or preparations of other parts of plants",1368.869117,527813.0663
Various food preparations,256.9238435,44975.44488
"Beverages, alcoholic liquids and vinegar",562.6627701,242441.17
Residues and waste from the food industries Prepared animal food,151.2136225,75572.94984
salt ; matches ; Dusts and Stones; Plaster; Lime and cement,1440.369958,8925926.418
"Ores, slag and ash",1652.855955,369284.75
"Mineral fuels, mineral oils and products of their distillation; Bituminous materials; Metal candles",5355.933664,2130019.625
"Inorganic chemical products; Organic or inorganic compounds of precious metals, rare earth minerals, radioactive elements, or isotopes",9082.039218,7749813.529
Organic chemical products,48103.18559,19213544.9
Pharmacy products,1537.818225,34925.53124
Fertilizers,4419.201155,4024732.774
